user_id,actor_id,added_at
2,nm0218075,2023-04-08T23:08:00
2,nm0829270,2023-12-01T18:32:00
2,nm5079616,2023-02-12T22:41:00
2,nm0876603,2023-07-21T08:49:00
2,nm0372961,2023-10-02T21:06:00
2,nm0303990,2023-01-23T03:26:00
2,nm1231723,2024-07-04T17:16:00
3,nm2260647,2024-04-23T21:51:00
3,nm0868435,2023-08-19T04:05:00
3,nm0731995,2024-02-15T09:43:00
4,nm0004365,2024-10-14T16:41:00
4,nm0025994,2024-05-19T17:49:00
4,nm0201538,2023-03-16T09:38:00
5,nm0798777,2023-07-03T18:45:00
5,nm0230335,2024-09-19T22:51:00
5,nm0541597,2023-12-03T07:23:00
5,nm0952365,2023-04-28T00:23:00
5,nm1511558,2024-03-04T01:58:00
5,nm6443212,2024-06-28T04:18:00
5,nm5550165,2024-03-27T17:59:00
6,nm0158605,2023-07-03T22:21:00
6,nm0787825,2024-09-03T20:03:00
6,nm0205213,2023-06-18T06:10:00
6,nm0000945,2024-12-08T09:51:00
7,nm0215019,2024-02-15T21:05:00
7,nm0840754,2024-09-04T00:51:00
7,nm0588223,2023-02-08T02:11:00
7,nm0388474,2024-02-05T18:51:00
7,nm4901642,2023-02-28T02:00:00
7,nm0642671,2023-12-26T10:55:00
8,nm2865987,2024-01-04T12:16:00
8,nm0867338,2023-09-17T23:00:00
8,nm0000761,2024-11-24T08:54:00
8,nm0364246,2023-09-16T15:56:00
8,nm0197384,2023-09-07T12:45:00
8,nm0035988,2023-09-21T02:25:00
8,nm0026364,2024-04-05T21:04:00
9,nm0620964,2024-12-16T23:04:00
9,nm0001397,2023-12-09T19:34:00
9,nm1461201,2023-09-18T23:00:00
9,nm1211594,2024-08-27T17:09:00
9,nm0032198,2023-05-03T14:17:00
11,nm0264429,2024-11-14T08:38:00
11,nm0092947,2024-03-12T08:36:00
12,nm0828840,2023-04-20T14:19:00
12,nm1490339,2024-01-17T16:57:00
12,nm0214430,2023-07-16T01:32:00
12,nm0411879,2024-01-20T05:02:00
13,nm0081547,2023-01-09T00:58:00
13,nm0763072,2023-10-14T12:11:00
13,nm0232655,2023-08-06T03:31:00
13,nm1011262,2024-03-20T04:53:00
14,nm1516296,2023-11-12T20:35:00
14,nm0863968,2024-11-06T13:53:00
14,nm0407514,2024-04-14T12:53:00
