user_id,film_id,added_at
1,39896,2023-10-18T06:23:00
1,180569,2024-02-13T16:28:00
1,98114,2024-10-22T19:07:00
1,26686,2023-02-13T11:50:00
1,122226,2024-09-12T04:12:00
1,188489,2024-09-02T01:02:00
1,82370,2023-12-11T15:33:00
1,7995,2024-03-20T16:08:00
1,26119,2024-10-11T05:25:00
2,149104,2024-08-24T16:38:00
3,851,2023-05-20T10:34:00
3,198313,2024-01-05T00:30:00
3,88682,2023-02-13T01:05:00
4,153368,2023-08-13T14:50:00
4,130874,2024-10-20T03:21:00
4,83430,2023-08-17T10:37:00
4,160545,2023-02-04T00:38:00
4,133541,2023-10-26T06:57:00
4,166269,2023-11-17T08:22:00
4,109241,2024-08-24T19:28:00
5,169154,2023-03-25T20:09:00
5,67929,2024-03-13T14:46:00
5,175997,2024-02-04T18:27:00
5,168400,2024-03-03T10:08:00
5,91201,2023-07-12T10:31:00
6,7109,2024-01-18T10:16:00
6,116929,2024-07-13T14:27:00
6,170143,2024-05-02T08:31:00
6,193773,2023-06-21T01:19:00
6,109793,2024-07-08T18:56:00
8,148222,2024-07-19T03:15:00
8,194456,2024-03-26T08:32:00
8,131417,2023-06-12T21:03:00
8,149104,2024-05-27T05:50:00
8,142268,2024-12-02T17:45:00
8,50158,2023-11-16T01:26:00
9,26139,2023-07-11T22:01:00
9,26686,2023-06-09T09:31:00
9,160444,2023-05-04T19:06:00
9,157903,2024-06-21T01:55:00
10,170143,2024-08-03T18:51:00
10,47629,2023-02-15T22:10:00
10,141034,2023-11-26T04:18:00
10,7763,2023-06-02T14:52:00
10,166482,2024-05-22T17:29:00
10,153726,2023-08-21T20:44:00
10,93455,2024-06-27T08:26:00
10,160561,2023-10-26T19:59:00
10,149723,2023-05-02T12:23:00
10,98629,2023-09-28T14:09:00
11,154454,2024-12-25T12:35:00
12,86635,2023-02-26T17:01:00
12,147198,2023-10-13T12:49:00
12,100042,2023-12-24T01:15:00
12,8123,2024-09-18T12:43:00
12,8459,2024-11-23T23:01:00
12,204236,2024-09-18T00:09:00
12,175983,2024-06-06T19:44:00
12,160575,2024-02-13T09:44:00
12,80566,2024-12-20T06:55:00
13,194670,2024-08-10T18:59:00
13,180203,2023-07-06T15:36:00
13,148486,2024-01-06T08:10:00
13,141365,2024-08-02T07:48:00
13,70571,2023-04-22T04:39:00
13,187553,2024-11-20T09:22:00
15,146090,2023-05-11T00:41:00
15,51402,2024-07-14T22:36:00
15,189081,2023-08-11T09:02:00
15,187611,2023-12-24T08:57:00
15,186511,2023-09-14T02:30:00
18,148106,2023-03-14T05:25:00
18,83056,2023-01-07T04:54:00
18,1709,2024-11-09T11:10:00
18,136846,2024-08-08T07:00:00
18,181287,2023-08-25T08:49:00
18,3488,2023-12-13T07:21:00
18,199746,2023-07-17T10:09:00
18,129707,2023-05-15T12:47:00
20,66815,2023-02-01T03:54:00
20,180555,2023-09-18T20:39:00
20,149723,2024-10-20T20:07:00
20,151469,2023-03-25T20:37:00
20,177745,2023-06-15T10:13:00
20,131009,2024-09-21T02:06:00
20,188213,2023-06-23T15:02:00
20,197707,2023-05-15T11:25:00
21,163817,2024-03-15T05:29:00
23,801,2024-01-21T17:37:00
23,165871,2023-03-21T15:01:00
23,70571,2024-10-20T21:02:00
23,201176,2024-05-20T09:39:00
23,197987,2023-06-14T20:22:00
23,98402,2023-11-08T20:25:00
24,69521,2023-03-01T14:10:00
24,7122,2023-10-12T15:35:00
24,45581,2023-04-11T22:44:00
24,185579,2024-01-18T03:36:00
25,4012,2023-03-04T13:25:00
25,202940,2024-07-19T03:02:00
25,155493,2024-01-21T17:43:00
25,181287,2024-02-28T03:52:00
25,128886,2024-02-07T21:58:00
25,87049,2024-01-21T04:22:00
25,1030,2023-01-14T08:11:00
25,5598,2023-08-14T08:15:00
25,144442,2024-10-21T09:48:00
26,8748,2024-01-28T15:54:00
26,196495,2023-10-26T06:43:00
26,175235,2023-04-05T19:19:00
26,123816,2023-03-22T15:50:00
26,128884,2024-10-10T05:22:00
26,160374,2023-02-13T11:28:00
26,25764,2024-06-11T15:19:00
27,125029,2024-03-22T17:26:00
27,205283,2023-06-18T07:19:00
27,145871,2023-12-13T06:35:00
28,105144,2023-01-28T18:26:00
28,119155,2023-02-12T06:21:00
28,193976,2023-11-26T00:22:00
28,103139,2023-03-26T11:27:00
29,84148,2023-02-20T20:43:00
29,73031,2023-06-10T14:44:00
29,4012,2023-09-13T07:37:00
29,197973,2024-03-10T00:42:00
29,204126,2023-04-17T22:16:00
29,44255,2023-01-08T02:30:00
30,175147,2023-05-27T18:40:00
30,7208,2023-02-11T02:21:00
30,4001,2024-10-10T09:14:00
30,104243,2024-09-16T02:29:00
31,3111,2024-01-27T20:42:00
31,179873,2024-05-20T03:19:00
31,96807,2024-06-07T07:31:00
31,132922,2024-03-01T03:52:00
31,90537,2024-07-20T03:17:00
32,161262,2023-02-08T03:35:00
32,171093,2024-01-11T01:12:00
32,140058,2024-07-04T20:05:00
32,99996,2024-04-10T02:30:00
32,113989,2024-02-09T13:53:00
32,128884,2024-06-10T10:05:00
32,204184,2023-04-28T06:59:00
32,26738,2024-06-19T02:26:00
32,178959,2024-12-20T02:22:00
32,7369,2024-07-07T00:44:00
33,78941,2024-08-21T15:33:00
33,125219,2023-04-01T05:18:00
33,107432,2023-04-22T21:46:00
33,154270,2023-01-18T06:14:00
33,157536,2024-02-18T15:51:00
33,148062,2023-06-23T10:50:00
33,47629,2023-04-20T20:12:00
33,88682,2023-04-17T00:12:00
33,192401,2024-05-07T03:52:00
33,92756,2023-08-24T07:06:00
34,2493,2024-12-11T07:44:00
34,154634,2023-10-13T15:31:00
34,131341,2023-08-28T10:37:00
34,92446,2024-03-18T06:05:00
36,131310,2024-11-19T06:01:00
36,142268,2024-07-28T13:58:00
36,90460,2023-05-20T03:26:00
36,131341,2024-01-12T23:20:00
36,194,2024-08-07T23:36:00
36,184019,2023-05-12T10:40:00
36,116489,2024-04-14T05:51:00
36,193459,2023-04-03T19:40:00
36,121194,2023-02-23T04:43:00
36,184815,2023-12-02T17:07:00
38,87049,2024-11-24T13:19:00
38,179899,2024-11-04T15:09:00
38,2435,2023-03-13T18:32:00
38,5086,2023-06-27T07:14:00
38,144998,2024-06-08T06:34:00
38,184851,2024-04-01T19:40:00
39,137427,2023-05-13T02:00:00
39,185521,2024-12-19T20:38:00
39,3587,2023-02-18T00:18:00
39,191423,2024-08-20T09:01:00
39,121847,2024-01-26T23:44:00
39,68874,2024-02-11T18:17:00
39,151082,2023-07-25T01:15:00
41,1155,2024-08-15T20:51:00
41,130792,2023-01-28T01:46:00
41,121626,2024-12-08T13:49:00
41,4397,2023-09-19T13:17:00
41,169740,2023-06-23T07:53:00
41,98402,2023-01-04T17:30:00
41,68915,2024-07-15T22:05:00
41,204236,2023-10-09T20:16:00
41,861,2023-02-12T07:40:00
41,180911,2023-10-04T04:44:00
43,184991,2024-10-26T10:26:00
43,147934,2023-08-06T00:30:00
43,123391,2023-04-14T22:31:00
43,133413,2023-08-07T12:14:00
45,126719,2023-02-28T15:29:00
45,72936,2023-01-18T23:27:00
45,3587,2024-06-09T01:25:00
45,96306,2024-01-02T04:12:00
46,53849,2024-03-09T03:33:00
46,123951,2024-01-10T16:37:00
46,136846,2023-01-13T00:25:00
46,6073,2024-01-28T16:45:00
46,173197,2024-07-05T08:01:00
50,81673,2023-08-24T22:04:00
50,159235,2023-06-22T22:13:00
50,3449,2023-05-25T19:43:00
50,89137,2024-11-15T17:41:00
50,7109,2024-02-12T12:30:00
50,1415,2024-11-24T21:33:00
50,153436,2023-09-14T17:19:00
